word, deff, prt_of_speech, usage, frequency_rank 
dignitas dignitatis f.,worth# reputation# honor,Noun: 3rd Declension,Personality Traits/Characteristics,956
dignus digna dignum,worthy,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,291
diligo diligere diliglexi diliglectum,choose# cherish# love,Verb: 3rd Conjugation -o,Love,973
dimitto dimittere dimittmisi dimittmissum,send away,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,777
discedo discedere discedcessi discedcessum,go away# depart,Verb: 3rd Conjugation -o,Travel,726
disciplina discipliae f.,training# instruction; learning# discipline,Noun: 1st Declension,Education/Knowledge,982
disco discere didici,learn,Verb: 3rd Conjugation -o,Education/Knowledge,465
diu:,for a long time,Adverb,Time,361
diversus diversa diversum,different# diverse,Adjective: 1st and 2nd Declension,Other Senses,641
dives divitis,rich (poet. dis# ditis),Adjective: 3rd Declension,Business/Money,564
divido dividere divisi divisum,divide# separate,Verb: 3rd Conjugation -o,Making/Doing,628
divitiae divitiarum f. pl.,riches# wealth,Noun: 1st Declension,Business/Money,712
divus diva divum,divine# godlike; (as subst.) a god,Adjective: 1st and 2nd Declension,Religion,962
do dare dedi datum,give,Verb: 1st Conjugation,Social Life,28
doceo docere docui doctum,teach,Verb: 2nd Conjugation,Education/Knowledge,393
doleo dolere dolui,feel pain or grief# grieve,Verb: 2nd Conjugation,Emotions,785
dolor dolooris m.,pain# grief,Noun: 3rd Declension,Emotions,193
dolus doli m.,artifice# device# trick,Noun: 2nd Declension,Deception,701
dominus domini m.; domina dominae f.,household master# lord; mistress,Noun: 2nd Declension,The Household,241
domus domus f.,house# home,Noun: 4th Declension,The House,73
donec,until,Conjunction,Time,771
dono donare,present with a gift (+ acc. of person and abl. of thing),Verb: 1st Conjugation,Social Life,606
donum doni n.,gift# present,Noun: 2nd Declension,Social Life,476
dormio dormire,sleep,Verb: 4th Conjugation,Life and Being,975
dubito dubitare,hesitate# doubt,Verb: 1st Conjugation,Education/Knowledge,521
dubius dubia dubium,doubtful; (as subst.) a doubt; sine dubio# without a doubt# certainly,Adjective: 1st and 2nd Declension,Deception,528
duco ducere duxi ductum,lead; uxorem ducere# marry,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,133
dulcis dulce,sweet,Adjective: 3rd Declension,Other Senses,383
dum,while (+ indic.); until (+ subj.); provided that (+ subj.),Conjunction,Time,103
duo duae duo,two,Adjective: Numeral,Measurement,221
durus dura durum,hard# tough# harsh,Adjective: 1st and 2nd Declension,Other Senses,249
dux ducis m./f.,leader# general,Noun: 3rd Declension,War and Peace,239
ecce,behold!,Adverb,Vision,643
edico edicere edicdixi edictum,declare,Verb: 3rd Conjugation -o,Speech/Oratory,996
edo edere edidi editum,put forth# state# explain,Verb: 3rd Conjugation -o,Speech/Oratory,688
educo educere educduxi eductum,lead forth,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,935
efficio efficere efficfeci efficfectum,bring about# complete; render (+ ut + subj.),Verb: 3rd Conjugation -io,Making/Doing,573
effundo effundere effundfudi effundfusum,pour out,Verb: 3rd Conjugation -o,Earth and Water,719
ego mei mihi me,I# me,Pronoun,Pronouns/Interrogatives,11
egredior egredi egressus sum,stride out# depart# disembark from (+ abl.),Verb: Deponent,Travel,912
egregius egregia egregium,distinguished# uncommon,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,860
eligo eligere elegi electum,pick out# select,Verb: 3rd Conjugation -o,The City,942
enim,for# indeed,Conjunction,Pronouns/Interrogatives,57
eo ire ii/ivi itum,go,Verb: Irregular,Motion,97
eo,(adv.) there# to that place,Adverb,Place,470
epistula epistuae f.,letter,Noun: 1st Declension,Writing/Poetry,951
eques equitis m.,horseman# knight,Noun: 3rd Declension,War and Peace,296
equus equi m.,horse,Noun: 2nd Declension,Animals/Plants,248
ergo,therefore,Conjunction,Conjunctions/Adverbs,134
eripio eripere eripui eripreptum,snatch away# rescue# save,Verb: 3rd Conjugation -io,Verbs of Transport,349
erro errare,go astray# wander,Verb: 1st Conjugation,Travel,402
error errooris m.,wandering; error# mistake,Noun: 3rd Declension,Travel,832
et,and,Conjunction,Conjunctions/Adverbs,1
etiam,also# even,Adverb,Conjunctions/Adverbs,67
ex# e,out of# from (+ abl.),Preposition,Place,26
excipio excipere excipcepi excipceptum,take out,Verb: 3rd Conjugation -io,Verbs of Transport,394
exemplum exempli n.,example# sample# copy,Noun: 2nd Declension,Speech/Oratory,519
exeo exire exii exitum,go forth,Verb: Irregular,Motion,597
exerceo exercere exercui exercitum,train# exercise# carry on,Verb: 2nd Conjugation,Athletics,576
exercitus exercitus m.,army,Noun: 4th Declension,War and Peace,267
exigo exigere exigegi exigactum,drive out; collect,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,500
existimo existimare,think# believe,Verb: 1st Conjugation,Education/Knowledge,613
experior experiorperiri experiorpertus sum,try thoroughly# test# experience,Verb: Deponent,Education/Knowledge,713
exsilium exsilii n.,exile# banishment,Noun: 2nd Declension,Travel,794
exspecto exspectare,watch# wait# expect,Verb: 1st Conjugation,Vision,442
extremus extrema extremum,farthest# situated at the end or tip# extreme,Adjective: 1st and 2nd Declension,Geography,385
fabula fabuae f.,account# tale# story,Noun: 1st Declension,Writing/Poetry,966
facies faciei f.,form# appearance,Noun: 5th Declension,Vision,479
facilis facile,easy,Adjective: 3rd Declension,Personality Traits/Characteristics,451
facinus facinoris n.,deed# crime,Noun: 3rd Declension,Justice,646
facio facere feci factum,do# make,Verb: 3rd Conjugation -io,Making/Doing,32
factum facti n.,deed# accomplishment,Noun: 2nd Declension,Making/Doing,611
fallo fallere fefelli falsum,deceive,Verb: 3rd Conjugation -o,Deception,503
falsus falsa falsum,deceptive# false,Adjective: 1st and 2nd Declension,Deception,633
fama faae f.,rumor# fame,Noun: 1st Declension,Speech/Oratory,278
fames famis f.,hunger# famine,Noun: 3rd Declension,Life and Being,828
familia familae f.,household# family,Noun: 1st Declension,The Household,943
fateor fateri fassus sum,admit# confess; profess# declare; assent# say yes,Verb: Deponent,Justice,689
fatum fati n.,fate; death,Noun: 2nd Declension,Religion,157
fax facis f.,torch,Noun: 3rd Declension,Air and Fire,511
feliciter,luckily,Adverb,Personality Traits/Characteristics,994
felix felicis,lucky,Adjective: 3rd Declension,Personality Traits/Characteristics,309
femina femiae f.,woman,Noun: 1st Declension,People,501
fere,almost,Adverb,Conjunctions/Adverbs,907
fero ferre tuli latum,bear# carry# endure,Verb: Irregular,Verbs of Transport,45
ferrum ferri n.,iron# iron weapon or implement,Noun: 2nd Declension,Violence,231
ferus fera ferum,wild# fierce; fera -ae f.: wild animal,Adjective: 1st and 2nd Declension,Animals/Plants,222
fessus fessa fessum,weary# tired,Adjective: 1st and 2nd Declension,Life and Being,625
fidelis fidele,faithful,Adjective: 3rd Declension,Personality Traits/Characteristics,979
fides fidei f.,trust# faith,Noun: 5th Declension,Personality Traits/Characteristics,184
filia filae f.; filius fili m.,daughter; son,Noun: 1st Declension,The Household,909
fingo fingere finxi fictum,shape; invent,Verb: 3rd Conjugation -o,Making/Doing,721
finis finis m.,end# boundary,Noun: 3rd Declension,Geography,236
fio fieri factus sum,become# happen# be done,Verb: Irregular,Life and Being,146
flamma flamae f.,flame# fire,Noun: 1st Declension,Air and Fire,298
fleo flere flevi fletum,weep,Verb: 2nd Conjugation,Emotions,457
flos floris m.,flower# bloom,Noun: 3rd Declension,Animals/Plants,818
fluctus fluctus m,flood# billow# surf,Noun: 4th Declension,Earth and Water,498
flumen fluminis n.,stream# river,Noun: 3rd Declension,Earth and Water,283
fluo fluere fluxi fluxum,flow,Verb: 3rd Conjugation -o,Earth and Water,772
foedus foeda foedum,foul,Adjective: 1st and 2nd Declension,Other Senses,922
fons fontis m.,spring# fountain,Noun: 3rd Declension,Earth and Water,706
for fari fatus sum,report# say,Verb: Deponent,Speech/Oratory,739
forma forae f.,shape; beauty,Noun: 1st Declension,Other Senses,422
fors fortis f.,chance,Noun: 3rd Declension,Religion,993
forsitan# fortasse,perhaps# perchance,Adverb,Conjunctions/Adverbs,833
forte,by chance,Adverb,Religion,579
fortis forte,brave,Adjective: 3rd Declension,Personality Traits/Characteristics,286
fortuna fortuae f.,fortune,Noun: 1st Declension,Religion,138
forum fori n.,market-place# forum,Noun: 2nd Declension,The City,811
frango frangere fregi fractum,break# shatter,Verb: 3rd Conjugation -o,Violence,345
frater fratris m.,brother,Noun: 3rd Declension,The Household,225
frequens frequentis,in large numbers# often,Adjective: 3rd Declension,Measurement,918
frons frontis f.,forehead# brow; front,Noun: 3rd Declension,The Body,559
fructus fructus m.,fruit# crops; enjoyment# delight,Noun: 4th Declension,Animals/Plants,927
frumentum frumenti n.,grain,Noun: 2nd Declension,Animals/Plants,936
fruor frui fructus sum,enjoy the produce of# profit by# use (+ abl.),Verb: Deponent,Emotions,923
frustra,in vain,Adverb,Conjunctions/Adverbs,694
fuga fuae f.,flight# route,Noun: 1st Declension,Travel,364
fugio fugere fugi fugitum,flee# escape,Verb: 3rd Conjugation -io,Travel,177
fugo fugare,put to flight,Verb: 1st Conjugation,Travel,957
fundo fundere fudi fusum,pour# scatter,Verb: 3rd Conjugation -o,Earth and Water,523
funus funeris n.,funeral; death; dead body,Noun: 3rd Declension,Religion,524
furor furooris m.,rage# fury,Noun: 3rd Declension,Emotions,466
fore,,Verb: Irregular,Life and Being,985
gaudeo gaudere gavisus sum,rejoice,Verb: 2nd Conjugation,Emotions,407
gaudium gaudii n.,delight# joy# pleasure,Noun: 2nd Declension,Emotions,727
